"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"f1b6d40c-f805-4342-a439-07c119e8f518","Josh","Allen","1.2","78.0","QB1","QB","Buffalo Bills",,
"9a03cab9-2c70-44ba-80ab-2653de1406d2","Lamar","Jackson","2.3","72.6","QB2","QB","Baltimore Ravens",,
"e955e6c2-d6aa-4791-97bc-e79dd92bafc9","Jalen","Hurts","3.8","81.6","QB3","QB","Philadelphia Eagles",,
"14eb98f8-0053-4f07-9ec4-679b6d13f6ac","Jahmyr","Gibbs","4.2","85.1","RB1","RB","Detroit Lions",,
"793e6806-ead1-4b9f-9a6f-624e4e831334","Saquon","Barkley","5.1","75.6","RB2","RB","Philadelphia Eagles",,
"d419d6a5-cbbc-4719-96fe-43073b1aa47e","Derrick","Henry","6.9","54.0","RB3","RB","Baltimore Ravens",,
"6e9c8105-3dab-483d-961a-2b573a7509ff","Patrick","Mahomes","7.8","84.0","QB4","QB","Kansas City Chiefs",,
"a4f6a5a3-da5f-4cfb-adef-7666f056b7bc","Amon-Ra","St. Brown","8.3","86.2","W/T1","W/T","Detroit Lions",,
"db19e25f-be47-44ae-860d-1f82c1dc78f8","A.J.","Brown","9.5","72.5","W/T2","W/T","Philadelphia Eagles",,
"1b5f3bc4-185c-4d6a-a4c8-2e2842522945","Justin","Jefferson","9.7","50.2","W/T3","W/T","Minnesota Vikings",,
"0fe6b578-ade3-4f4d-be07-060bb08fe62a","James","Cook","11.1","52.8","RB4","RB","Buffalo Bills",,
"42bf786c-9637-459e-afe1-8340805c1939","Jared","Goff","12.1","82.1","QB5","QB","Detroit Lions",,
"074fa648-a3de-43f4-8a33-db0139e4c9a9","DeVonta","Smith","13.6","54.7","W/T4","W/T","Philadelphia Eagles",,
"87e6d4d4-d19c-4519-9c51-c1b205af7824","Jameson","Williams","14.5","51.5","W/T5","W/T","Detroit Lions",,
"cceeda80-3d8d-4335-9ac7-26d5b1a4777b","Travis","Kelce","17.4","69.0","W/T6","W/T","Kansas City Chiefs",,
"faa9577c-9e5d-4c79-b8ff-458944a0035a","Mark","Andrews","17.6","38.7","W/T7","W/T","Baltimore Ravens",,
"a8c9e496-d107-4d78-a7e0-86e7e238a838","Aaron","Jones","17.6","49.2","RB5","RB","Minnesota Vikings",,
"a6909fb6-8ec3-4008-bc67-e7971f11de0f","Xavier","Worthy","19.1","51.0","W/T8","W/T","Kansas City Chiefs",,
"6457fb99-144a-484d-a91b-ee8d59db3ea9","Puka","Nacua","20.5","11.6","W/T9","W/T","Los Angeles Rams",,
"f9a3b2da-0385-470c-b799-3415c74f94df","Khalil","Shakir","21.3","42.9","W/T10","W/T","Buffalo Bills",,
"ea621000-ae8d-4602-b9c3-eb0ba9a2f669","Zay","Flowers","23.2","42.9","W/T11","W/T","Baltimore Ravens",,
"8e49b1c4-2ec7-4698-836f-a13e3d52fb42","Jordan","Addison","23.2","29.8","W/T12","W/T","Minnesota Vikings",,
"27d7b291-d2e9-420d-8848-59e79da5a364","Sam","LaPorta","23.5","44.0","W/T13","W/T","Detroit Lions",,
"ad85ce44-c361-4808-a1fa-6292a53ca110","Kyren","Williams","25.9","11.4","RB6","RB","Los Angeles Rams",,
"622acf6a-e147-495b-8c1d-13d1904a8d86","Rashod","Bateman","26.6","34.8","W/T14","W/T","Baltimore Ravens",,
"47d2e90f-e946-4bf4-b43c-57fc5685bf00","Mike","Evans","27.4","8.2","W/T15","W/T","Tampa Bay Buccaneers",,
"40d2def3-bb1f-449b-94bb-b646c286e19b","Isiah","Pacheco","27.7","60.0","RB7","RB","Kansas City Chiefs",,
"c5abd4c9-4e73-4951-a788-124f0483daad","Josh","Jacobs","28.3","40.7","RB8","RB","Green Bay Packers",,
"27dd5fa8-25a1-43f9-8e24-af034902f6df","Ladd","McConkey","29.3","36.4","W/T16","W/T","Los Angeles Chargers",,
"c4c3a05c-11d9-4a14-86d3-d8cc4bc8f538","Bucky","Irving","32.0","5.8","RB9","RB","Tampa Bay Buccaneers",,
"bccb810d-7b1f-4dd7-9a52-6ef2e7fbcbab","Dallas","Goedert","32.3","41.7","W/T17","W/T","Philadelphia Eagles",,
"d495ca22-0c59-4993-bc1c-f31ad88682b9","Amari","Cooper","32.5","47.1","W/T18","W/T","Buffalo Bills",,
"fa11e98d-d8c0-4f47-9607-a0900048fc56","Sam","Darnold","32.5","57.3","QB6","QB","Minnesota Vikings",,
"e796e9e4-2f95-4322-ada3-9f0fe0e372a4","David","Montgomery","34.4","69.5","RB10","RB","Detroit Lions","QUESTIONABLE",
"0e6252cb-45ae-48a2-bf42-1768012afaa2","Nico","Collins","35.6","62.4","W/T19","W/T","Houston Texans",,
"dcac2290-2ba6-49cc-8beb-762ee2277ab5","Hollywood","Brown","35.6","0.0","W/T20","W/T","Kansas City Chiefs",,
"f2958a5b-432e-4f2b-a715-9938db0d173d","Terry","McLaurin","36.6","46.7","W/T21","W/T","Washington Commanders",,
"fcf48867-88c8-4608-8c35-f71f84a779e9","Jayden","Daniels","39.5","63.6","QB7","QB","Washington Commanders",,
"6992eec0-2045-4537-9740-201130f460d5","J.K.","Dobbins","40.6","39.8","RB11","RB","Los Angeles Chargers",,
"454e99b1-7ecd-4c0a-8933-03e4182713ff","Dalton","Kincaid","41.4","37.2","W/T22","W/T","Buffalo Bills",,
"a8d38123-783c-4340-a9c2-2704593ff6e9","T.J.","Hockenson","41.8","34.8","W/T23","W/T","Minnesota Vikings",,
"3c024db7-3a52-419e-8e68-c196c86e57e8","Keon","Coleman","42.8","33.0","W/T24","W/T","Buffalo Bills",,
"5515f2ff-d11e-42f1-ac55-b3f8fd7cae0c","Joe","Mixon","43.7","61.8","RB12","RB","Houston Texans",,
"697db710-a9af-4095-a557-859fc96db5ce","Kareem","Hunt","44.1","56.0","RB13","RB","Kansas City Chiefs",,
"f12d69b8-dac9-4d44-b885-99f634211fe3","DeAndre","Hopkins","46.1","53.0","W/T25","W/T","Kansas City Chiefs",,
"4a7da7ef-0a85-449e-a286-38da52bc6ae4","Cooper","Kupp","46.6","10.8","W/T26","W/T","Los Angeles Rams",,
"1d96d134-560a-4f1a-b438-98890d2bb00e","Isaiah","Likely","47.2","24.6","W/T27","W/T","Baltimore Ravens",,
"6b8a5e6c-cbb2-46e0-a931-93332192d7a6","Baker","Mayfield","47.8","10.6","QB8","QB","Tampa Bay Buccaneers",,
"c6d4e3ab-d2ec-4c92-9725-24edf5d8c0cb","Justin","Herbert","49.2","50.3","QB9","QB","Los Angeles Chargers",,
"f906ee55-f1a2-487b-b31b-e0bea3271939","Justice","Hill","49.4","31.4","RB14","RB","Baltimore Ravens",,
"57d11451-5041-4dfa-9c79-101b67437919","Jalen","McMillan","50.3","5.5","W/T28","W/T","Tampa Bay Buccaneers",,
"3663d38a-52b2-4700-bc02-a0b1f2ef1ee8","Jayden","Reed","52.2","36.6","W/T29","W/T","Green Bay Packers",,
"6bae008b-4c59-422e-8962-5956b6374b70","Kenneth","Gainwell","54.3","12.4","RB15","RB","Philadelphia Eagles",,
"fe594419-b2c2-469a-85de-602a0466713b","Brian","Robinson Jr.","54.4","39.0","RB16","RB","Washington Commanders",,
"54415a6f-917c-460c-b759-ceff316b1f12","Courtland","Sutton","55.0","9.0","W/T30","W/T","Denver Broncos",,
"dea35e3b-5f1f-4b2b-be0a-fd81cdae3ddc","George","Pickens","55.3","43.8","W/T31","W/T","Pittsburgh Steelers",,
"db1833c8-1234-4fd0-aa9d-a0e2b22d115b","Tim","Patrick","55.6","27.0","W/T32","W/T","Detroit Lions",,
"835c0141-2e34-4f7f-a60a-93ad9e23f88a","Quentin","Johnston","56.1","27.4","W/T33","W/T","Los Angeles Chargers",,
"d3fc418e-830a-4dc0-ad77-afca74949051","Ty","Johnson","56.6","12.0","RB17","RB","Buffalo Bills",,
"7ea670b8-e4a6-4827-a3e9-df10fe36ecb4","Matthew","Stafford","56.8","11.2","QB10","QB","Los Angeles Rams",,
"55d8585f-0cfc-497e-aba8-08291d644290","Jordan","Love","57.1","51.5","QB11","QB","Green Bay Packers",,
"97277fa5-ea46-4eb5-88b8-89889787e49a","C.J.","Stroud","57.7","67.9","QB12","QB","Houston Texans",,
"ad67c022-5519-476d-ac06-d8dc520e6082","Noah","Gray","58.5","12.0","W/T34","W/T","Kansas City Chiefs",,
"91b06df0-c6b5-4074-b1ff-08743855c0f1","Bo","Nix","58.6","11.0","QB13","QB","Denver Broncos",,
"a3e63e75-2007-4fb1-b4b4-c9cb71b9ef7e","Ja'Marr","Chase","58.6","27.9","W/T35","W/T","Cincinnati Bengals",,
"39844163-878a-4818-bf62-03c19ae0e0c3","Romeo","Doubs","58.6","28.2","W/T36","W/T","Green Bay Packers",,
"c5f1ce39-642f-4340-9574-3febe8db8759","Jalen","Nailor","58.7","16.2","W/T37","W/T","Minnesota Vikings",,
"1d2935ab-e9c0-4f32-9073-b4b79084bf6b","Bijan","Robinson","58.9","53.8","RB18","RB","Atlanta Falcons",,
"62e5c199-79d1-4415-a433-f26db7f0f581","Zach","Ertz","59.0","25.4","W/T38","W/T","Washington Commanders",,
"74ce4431-ae76-4764-8be8-010648e9869f","Mack","Hollins","59.1","18.0","W/T39","W/T","Buffalo Bills",,
"ff5fbab8-2df8-4b30-a707-eefbe54c011a","Ray","Davis","59.1","29.4","RB19","RB","Buffalo Bills",,
"7aeb587b-20f1-49a8-aac5-effc5ea7cf48","Najee","Harris","59.2","34.5","RB20","RB","Pittsburgh Steelers",,
"03aef0bc-9c60-4007-9be7-dece046168e9","Nelson","Agholor","59.2","17.5","W/T40","W/T","Baltimore Ravens",,
"cba85a3a-3c57-45b5-a29c-7f2637efe28d","Cam","Akers","59.3","0.0","RB21","RB","Minnesota Vikings",,
"c4eb1f9c-665b-49f2-8b31-3ed69ea7dcf5","Joe","Burrow","59.3","30.6","QB14","QB","Cincinnati Bengals",,
"805eb4a0-d8e3-4129-9c0b-d2f2fdcb2874","Rachaad","White","59.6","6.5","RB22","RB","Tampa Bay Buccaneers",,
"65d71938-6707-4f4d-91d0-ef3f75bcd413","Jaylen","Warren","59.6","23.5","RB23","RB","Pittsburgh Steelers",,
"b6a9fe0c-dc5c-4b95-bef4-3d1167ab601e","Marvin","Mims Jr.","59.6","2.6","W/T41","W/T","Denver Broncos",,
"6d134ddc-e0a7-4b4f-87e5-d6e3212ff01d","Drake","London","59.6","50.4","W/T42","W/T","Atlanta Falcons",,
"715575ed-924c-4bd3-9db0-2c6a1034e147","Olamide","Zaccheaus","59.7","18.7","W/T43","W/T","Washington Commanders",,
"f0d8c9f9-856a-4eac-a532-49dff7c15859","Austin","Ekeler","59.7","30.0","RB24","RB","Washington Commanders",,
"1999df40-a864-49a9-9105-7a712acae369","Samaje","Perine","59.7","27.0","RB25","RB","Kansas City Chiefs",,
"6ff0e463-32ef-465e-9079-54b917b307e5","Jahan","Dotson","59.7","15.8","W/T44","W/T","Philadelphia Eagles",,
"3c8e4bc6-7bdd-4dfa-816f-66b7a7f605d9","Keaton","Mitchell","59.7","14.0","RB26","RB","Baltimore Ravens",,
"d748ff24-f73b-4ce9-a396-2784c1a3a1e7","Russell","Wilson","59.7","52.8","QB15","QB","Pittsburgh Steelers",,
"a1effc2b-293c-40e7-8521-f00fd9828e64","Dalton","Schultz","59.8","31.7","W/T45","W/T","Houston Texans",,
"fb2b4189-b1d9-4a16-8a93-fc8cb3087294","Kalif","Raymond","59.8","20.6","W/T45","W/T","Detroit Lions",,
"10854cac-7322-45e6-8fe3-e04c582cf9f4","Cade","Otton","59.8","5.8","W/T45","W/T","Tampa Bay Buccaneers",,
"f5a8dee6-e5fc-4b92-bfab-b48ddc6b330b","Tucker","Kraft","59.8","24.6","W/T48","W/T","Green Bay Packers",,
"a43c139f-e368-400f-a0c4-4b6be8bd6a7a","Grant","Calcaterra","59.8","7.5","W/T49","W/T","Philadelphia Eagles",,
"b3141f79-2253-4a1a-a132-a2dc4defb0f7","Will","Dissly","59.8","20.8","W/T50","W/T","Los Angeles Chargers",,
"161c3410-49cb-40be-8605-70f72b24b3ce","George","Kittle","59.8","45.2","W/T51","W/T","San Francisco 49ers",,
"13dcc954-0e4d-4c3f-8fe8-44a7f7848044","Chase","Brown","59.8","22.8","RB27","RB","Cincinnati Bengals",,
"2e82c769-d871-44b1-ab73-0748561d2119","Tee","Higgins","59.8","21.7","W/T51","W/T","Cincinnati Bengals",,
"9aa49b66-5bf4-460c-8b60-a9e372f9d6a8","Justin","Watson","59.8","12.0","W/T53","W/T","Kansas City Chiefs",,
"312c498d-f61f-4458-a04b-9fb49fd0bedd","Joshua","Palmer","59.9","17.5","W/T54","W/T","Los Angeles Chargers",,
"2265a5b8-a2d8-4b67-a8f9-015c85951679","JuJu","Smith-Schuster","59.9","21.0","W/T55","W/T","Kansas City Chiefs",,
"59fbd467-486f-4393-8c63-06506269f44b","Pat","Freiermuth","59.9","19.3","W/T55","W/T","Pittsburgh Steelers",,
"f076058b-5e17-44f0-81d0-e2caaf696c0b","Dontayvion","Wicks","59.9","23.1","W/T57","W/T","Green Bay Packers",,
"dd02a417-28c1-4575-9173-85606eccb1c3","Dawson","Knox","59.9","15.0","W/T57","W/T","Buffalo Bills",,
"b9976557-f496-44dd-a5c4-d41470240143","Demarcus","Robinson","59.9","6.2","W/T57","W/T","Los Angeles Rams",,
"ac8a2484-4a9c-452f-8767-3c4f5cf97243","Diontae","Johnson","59.9","32.1","W/T60","W/T","Houston Texans",,
"4f95bd93-0e3d-405c-9129-1713c145c129","Craig","Reynolds","59.9","9.3","RB28","RB","Detroit Lions",,
"aef6f387-b104-4bac-9135-62fe660b3e47","Tylan","Wallace","59.9","2.3","W/T61","W/T","Baltimore Ravens",,
"fbbfa75c-ee24-4f28-8748-70c13f82f3ac","Tank","Dell","59.9","47.6","W/T62","W/T","Houston Texans",,
"ffc77156-643b-4b16-9a84-07365b4d1bbe","Curtis","Samuel","59.9","21.0","W/T63","W/T","Buffalo Bills",,
"c00975c2-644a-4717-b4e9-e6b8583814e6","Gus","Edwards","59.9","14.8","RB29","RB","Los Angeles Chargers",,
"dbd20394-c51c-4bc5-aff1-023e5a0623da","Javonte","Williams","59.9","7.9","RB29","RB","Denver Broncos",,
"09533247-de7f-46a5-ad55-9d4c77e47593","Jaleel","McLaughlin","59.9","3.8","RB29","RB","Denver Broncos",,
