"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"5b124999-5062-4b54-b739-e7db76306762","Saquon","Barkley","1.4","16.9","RB1","RB","Philadelphia Eagles",,
"4d423e66-0b25-4b41-8ff0-1fe6c6dcb91b","Derrick","Henry","2.5","18.0","RB2","RB","Baltimore Ravens",,
"87baaf34-3782-472e-947d-8b3e29ee1429","Josh","Allen","3.6","16.8","QB1","QB","Buffalo Bills",,
"a6f850ff-47ec-4778-b01d-91d88371dced","Justin","Jefferson","4.3","15.2","WR1","WR","Minnesota Vikings",,
"846c180d-ec55-490b-b6ee-bdc2c5f0331f","Lamar","Jackson","5.7","17.5","QB2","QB","Baltimore Ravens",,
"f2149cef-d0f5-4601-bbd0-5e391a9434d6","Puka","Nacua","5.9","15.3","WR2","WR","Los Angeles Rams",,
"af960e0e-b4a0-4f7a-a617-67feadb67615","Bucky","Irving","7.2","16.4","RB3","RB","Tampa Bay Buccaneers",,
"9d463168-a0b7-40e3-88d3-b8235075f3f6","Mike","Evans","8.1","14.2","WR3","WR","Tampa Bay Buccaneers",,
"8ec77814-4db3-4339-9bcb-a841aac56248","Kyren","Williams","10.1","14.3","RB4","RB","Los Angeles Rams",,
"efd9e122-cdd6-42bd-bc9b-e9416862a39f","Nico","Collins","11.2","13.2","WR4","WR","Houston Texans",,
"f836b64d-0872-4197-aba5-610ec66673c6","A.J.","Brown","12.1","13.1","WR5","WR","Philadelphia Eagles",,
"0460a965-dfc6-4996-ad22-a0fc8e45472e","Jayden","Daniels","12.9","14.5","QB3","QB","Washington Commanders",,
"423193d9-9c84-4b99-8968-52e614d22fdc","Ladd","McConkey","13.4","11.5","WR6","WR","Los Angeles Chargers",,
"07fe9390-06f1-4523-9612-63db659ed482","Terry","McLaurin","14.4","12.0","WR7","WR","Washington Commanders",,
"a0573ff5-2012-4b8d-bb60-f16a648acf0e","James","Cook","15.1","13.2","RB5","RB","Buffalo Bills",,
"3adb65ba-1053-483f-993f-ccf454998303","Josh","Jacobs","15.9","14.7","RB6","RB","Green Bay Packers",,
"3d830cf8-91af-41f6-8d5b-75e400477fe9","Mark","Andrews","16.5","9.5","TE1","TE","Baltimore Ravens",,
"c1d79c84-4aff-423b-8c67-92c4feebb311","Courtland","Sutton","20.0","11.4","WR8","WR","Denver Broncos",,
"f9b6533a-996b-4168-a546-42fa5b871acd","Aaron","Jones","21.5","13.2","RB7","RB","Minnesota Vikings",,
"0ad8f3cc-1b50-43ad-9a5b-ee3cd078fb3f","Baker","Mayfield","22.2","13.5","QB4","QB","Tampa Bay Buccaneers",,
"a2e87d15-31ee-45d7-8865-53628f52591f","Jordan","Addison","22.3","10.3","WR9","WR","Minnesota Vikings",,
"071ea6d7-7e81-4dc3-88a3-f630f05164e4","Zach","Ertz","23.3","7.8","TE2","TE","Washington Commanders",,
"372750e0-9d6d-4cd8-b413-3feda276c7d4","Jalen","McMillan","23.9","9.0","WR10","WR","Tampa Bay Buccaneers",,
"4e7a9349-9417-4e6a-80d7-50c9e38fff90","J.K.","Dobbins","24.8","12.8","RB8","RB","Los Angeles Chargers",,
"4e4e2149-077c-4d27-bb71-911d3f2273f9","DeVonta","Smith","25.2","9.3","WR11","WR","Philadelphia Eagles",,
"0031e529-add4-400c-afda-44c203506d4c","Joe","Mixon","25.2","13.4","RB9","RB","Houston Texans",,
"e7f6cfe8-8a3e-48e3-886c-27bbe94b036b","Jalen","Hurts","27.0","14.0","QB5","QB","Philadelphia Eagles","QUESTIONABLE",
"3979d957-ded7-493a-805a-bdcdebeff4b2","T.J.","Hockenson","27.7","8.0","TE3","TE","Minnesota Vikings",,
"8a3cf628-90a8-453b-8698-274052ff579e","Khalil","Shakir","30.4","10.6","WR12","WR","Buffalo Bills",,
"ec93c0d0-d8f4-40e5-bb57-f06386411347","Cooper","Kupp","30.9","9.0","WR13","WR","Los Angeles Rams",,
"21d83636-f0bf-406f-9120-002f266cfc8a","Pat","Freiermuth","31.6","6.5","TE4","TE","Pittsburgh Steelers",,
"26a4bb3c-6bc4-4912-9939-d888eeff2b10","Sam","Darnold","31.8","17.5","QB6","QB","Minnesota Vikings",,
"615dcf1d-5b4e-491d-9783-da87b2817a75","Rashod","Bateman","32.4","7.5","WR14","WR","Baltimore Ravens",,
"802021f9-c7ff-4442-9c96-d123967d8a11","Dalton","Kincaid","33.3","7.1","TE5","TE","Buffalo Bills",,
"b660fbf8-7f29-4b2c-a748-c5685f3ab4a7","Dallas","Goedert","33.6","7.0","TE6","TE","Philadelphia Eagles",,
"369e12ff-974e-42e0-9b78-00622208edde","Justin","Herbert","33.8","15.0","QB7","QB","Los Angeles Chargers",,
"43c05269-9406-44ab-ba20-294cdc9207bb","George","Pickens","33.9","8.5","WR15","WR","Pittsburgh Steelers",,
"0949680c-a5c7-4713-9e0f-df34c5c2536f","Marvin","Mims Jr.","34.2","7.1","WR16","WR","Denver Broncos",,
"b67f6686-b9c9-4ba0-b6c1-22332562c232","Brian","Robinson Jr.","34.7","9.8","RB10","RB","Washington Commanders",,
"1a93c448-8e87-485e-86d9-c83b2707f23e","Tucker","Kraft","34.8","5.6","TE7","TE","Green Bay Packers",,
"6ec9d7fd-efbc-456d-8dba-9e9a670f1a68","Quentin","Johnston","34.9","7.4","WR17","WR","Los Angeles Chargers",,
"663d4980-e7b0-402b-bf3e-6418ef3872a1","Bo","Nix","35.1","13.0","QB8","QB","Denver Broncos",,
"6b011aa9-e3b5-43e1-904f-9c89be2355b9","Zay","Flowers","35.1","10.1","WR18","WR","Baltimore Ravens","QUESTIONABLE",
"0c8dc0d1-bd28-43c8-943a-201a31e26850","Isaiah","Likely","35.2","4.7","TE8","TE","Baltimore Ravens",,
"9fc1796a-dbce-4614-98a8-3d3e19d95682","Jayden","Reed","35.5","8.8","WR19","WR","Green Bay Packers",,
"d0bdef24-65f3-44ec-a63f-7b9877955cf9","Jaylen","Warren","35.5","11.6","RB11","RB","Pittsburgh Steelers",,
"0d7cf464-86cb-4ada-8be3-fb31d186d30b","Matthew","Stafford","35.6","14.4","QB9","QB","Los Angeles Rams",,
"df8d723f-20af-49b6-99eb-78d951642317","Najee","Harris","35.7","8.0","RB12","RB","Pittsburgh Steelers",,
"300c2ff6-3995-4091-8077-93c896903aef","Olamide","Zaccheaus","35.7","6.1","WR20","WR","Washington Commanders",,
"8a3597bf-2baf-4201-bcea-4e958b00b74f","Dalton","Schultz","35.7","6.6","TE9","TE","Houston Texans",,
"9a088102-8fb6-4260-99f4-ced991531eec","C.J.","Stroud","35.8","13.0","QB10","QB","Houston Texans",,
"6e1e46e1-0305-4e48-8579-8260809749e6","Amari","Cooper","35.8","6.5","WR21","WR","Buffalo Bills","QUESTIONABLE",
"bbc95206-0e2c-4790-9828-6144cb98ed23","Will","Dissly","35.8","6.2","TE10","TE","Los Angeles Chargers",,
"6a4672ae-c614-4b9b-aaba-0fe6f55e42b8","Austin","Ekeler","35.8","6.8","RB13","RB","Washington Commanders",,
"bb50698c-f5e0-4947-83ec-80aff4ffa305","Cade","Otton","35.8","5.5","TE11","TE","Tampa Bay Buccaneers","QUESTIONABLE",
"a4453956-4276-4c9e-abc1-f747e61cc0b8","Keon","Coleman","35.9","7.2","WR22","WR","Buffalo Bills",,
"22ce6549-2577-477e-96c6-b800fb542c4e","Jordan","Love","35.9","13.0","QB11","QB","Green Bay Packers",,
"d1793fa3-0553-494b-b8fd-95dd66b8e2e6","Jaleel","McLaughlin","35.9","7.9","RB14","RB","Denver Broncos",,
"857aae84-b17c-4912-9c73-2cb5ad76a603","Dontayvion","Wicks","35.9","6.9","WR23","WR","Green Bay Packers",,
"283bd420-53f0-492a-b41a-ce484cd6a9bb","Tyler","Higbee","35.9","4.2","TE12","TE","Los Angeles Rams",,
"1cb7a0d2-0d07-4f09-baf3-5b3da6c1b4fa","Russell","Wilson","35.9","12.5","QB12","QB","Pittsburgh Steelers",,
"081d7ee9-3228-4057-84e7-605802630f26","Romeo","Doubs","35.9","7.6","WR24","WR","Green Bay Packers","QUESTIONABLE",
"05aecaab-56ad-4694-9d84-e3ed216e81ff","Rachaad","White","36.0","4.8","RB15","RB","Tampa Bay Buccaneers",,
"c4e9c8ce-004c-4efd-99b2-2cf47d5d4797","Jalen","Nailor","36.0","4.7","WR26","WR","Minnesota Vikings",,
"e138fe92-da59-48b3-ace3-a1ec9c872e89","Kenneth","Gainwell","36.0","3.8","RB16","RB","Philadelphia Eagles",,
"54049ffb-2ccc-4664-89a0-8652cf3ff2fd","Derius","Davis","36.0","2.9","WR25","WR","Los Angeles Chargers",,
"d7bcbc45-788a-421b-a157-813add58d6c3","Payne","Durham","36.0","2.1","TE13","TE","Tampa Bay Buccaneers",,
"1ca8f142-9282-44ee-a6d8-f5b3dcecdef2","Javonte","Williams","36.0","5.6","RB20","RB","Denver Broncos",,
"239d7f6c-1d42-4ec4-b665-dabb901b416d","Cam","Akers","36.0","4.5","RB19","RB","Minnesota Vikings",,
"ec40a8c4-23cb-4a45-8873-3ba9c29f9e7d","Stone","Smartt","36.0","2.8","TE14","TE","Los Angeles Chargers",,
"1f604b27-03d1-4901-be0e-8a04bc4981fc","Lil'Jordan","Humphrey","36.0","1.5","WR27","WR","Denver Broncos",,
"5b0f5b98-f480-4b67-b85d-07403ad46b0a","Dameon","Pierce","36.0","1.4","RB17","RB","Houston Texans",,
"6af7c524-6907-433a-9f55-df87d4df0707","Chris","Rodriguez","36.0","0.5","RB21","RB","Washington Commanders",,
"ef033643-ff22-413b-8534-7abd2f82cb64","Reggie","Gilliam","36.0","0.0","RB18","RB","Buffalo Bills",,
